step	slope	intercept	MAE_all_next	MAE_last_5	last_actual	last_pred
[3000]	-0.0006050746556729698	4.968029618326437	8.04442698037473	15.979975942809821	3.058030531	-13.18421005186266
[3100]	-0.0004840139450789766	4.740254060946977	6.352360131770492	12.630407502136782	3.058030531	-9.78016429142232
[3200]	-0.0003875126038197996	4.547680589917982	5.009679942120619	9.971366338957099	3.058030531	-7.077697524676007
[3300]	-0.0003158811228631812	4.397053213730218	4.01837433995682	8.005283452876787	3.058030531	-5.0793804721652185
[3400]	-0.000261404528734149	4.278433842898257	3.2666017868402584	6.514119467195846	3.058030531	-3.5637020191262128
[3500]	-0.0002187070702380422	4.180658080987986	2.6805875604646503	5.350185330546159	3.058030531	-2.3805540261532796
[3600]	-0.00018350504877196884	4.097174461226399	2.1985092886677324	4.39344921598528	3.058030531	-1.4079770019326663
[3700]	-0.00016118164289210233	4.04344741770723	1.8943755989485445	3.7875196157543938	3.058030531	-0.7920018690558397
[3800]	-0.0001417532006518354	3.9936133890984795	1.6318084615170698	3.2632431761632565	3.058030531	-0.25898263045658254
[3900]	-0.00012686358109454952	3.953130272081646	1.4329169012812097	2.8637380352622928	3.058030531	0.14722283924516022
[4000]	-0.00011289842806006675	3.9159184031865033	1.2444179111516014	2.4882796319884695	3.058030531	0.5289655613845006
[4100]	-0.00010296259183982205	3.8888066677088617	1.111342152382385	2.22178740715788	3.058030531	0.7999289125142002
[4200]	-9.36034560022247e-05	3.862670813706117	0.9858717785535048	1.971360797159623	3.058030531	1.054567133639376
[4300]	-8.856448896329255e-05	3.8491524550453837	0.9190250544958528	1.835977679819911	3.058030531	1.1922177861466072
[4400]	-8.212600638264736e-05	3.831850960662143	0.8319151511658994	1.6630220139450866	3.058030531	1.3680707691827223
[4500]	-7.709972244048939e-05	3.8142728058768256	0.7684358325927839	1.5320734782396361	3.058030531	1.501281132662144
[4600]	-7.029393286985536e-05	3.795104398373377	0.6757228611025381	1.3501308039308488	3.058030531	1.6862864122777164
[4700]	-6.218557947719685e-05	3.7690567218008897	0.5672507170468646	1.1365766377502773	3.058030531	1.9034893374849844
[4800]	-5.467519630700776e-05	3.7448883436284763	0.46616611141580117	0.938813193243603	3.058030531	2.1046324544182435
[4900]	-4.8899180965517217e-05	3.7232427831310346	0.3914971693202169	0.7897775003999993	3.058030531	2.256267354165518
[5000]	-4.000336237597331e-05	3.690549432434706	0.27412339740415287	0.5595994117753053	3.058030531	2.4904485611555067
[5100]	-3.634243133481646e-05	3.6758977472720806	0.22749076440581442	0.4660705846717459	3.058030531	2.5856248072275867
[5200]	-3.429449479199109e-05	3.6664754267033	0.20286615532002739	0.41497638040003687	3.058030531	2.6376405829435674
[5300]	-3.4920249604004455e-05	3.667758424675417	0.21299379030802448	0.4321844371229145	3.058030531	2.6201509365552837
[5400]	-3.184145785984425e-05	3.6549699708797183	0.1738183907917952	0.35399459487867935	3.058030531	2.6997262350843907
