step	a	b	c	confidence_a	confidence_b	confidence_c	R^2	MAE_all_next	MAE_last_5	last_actual	last_pred
5200	7.145046755878739	-1.0	3.814520844105574	inf	inf	inf	0.7549505756290718	0.5381999101796479	0.7452171195055738	3.058030531	3.814520844105574
5300	7.151687315006433	-1.0	3.8078802849101883	inf	inf	inf	0.7539811241891574	0.5323289802159734	0.7385765603101883	3.058030531	3.8078802849101883
5400	7.157527091666665	-1.0	3.8020405083333335	inf	inf	inf	0.7532447868006781	0.5273895399225451	0.7327367837333335	3.058030531	3.8020405083333335
5500	7.163358037254544	-1.0	3.796209562745455	inf	inf	inf	0.7524725516418334	0.5224197923871216	0.7269058381454548	3.058030531	3.796209562745455
5600	7.168867510946427	-1.0	3.7907000890535714	inf	inf	inf	0.751770261602938	0.5178052528611027	0.7213963644535714	3.058030531	3.7907000890535714
5700	7.173954383348815	-1.0	3.785613216581661	inf	inf	inf	0.751169712335388	0.5136757481320813	0.7163094919816612	3.058030531	3.785613216581661
5800	7.179493684258617	-1.0	3.7800739157413794	inf	inf	inf	0.7503847226618223	0.5089482460198604	0.7107701911413794	3.058030531	3.7800739157413794
5900	7.1848862758644065	-1.0	3.774681324135593	inf	inf	inf	0.7496164675537688	0.5043640668771187	0.7053775995355932	3.058030531	3.774681324135593
6000	7.1896766042	-1.0	3.7698909958	inf	inf	inf	0.7490212500386307	0.5004969060595743	0.7005872712	3.058030531	3.7698909958
6100	7.194302051514911	-1.0	3.7652655485713478	inf	inf	inf	0.7484510871538765	0.49680455552006575	0.6959618239713478	3.058030531	3.7652655485713478
6200	7.199468841112903	-1.0	3.760098758887097	inf	inf	inf	0.7476622012336624	0.4923951203205733	0.6907950342870969	3.058030531	3.760098758887097
6300	7.204019811015871	-1.0	3.755547788984127	inf	inf	inf	0.7470632492756681	0.48873071945395447	0.6862440643841269	3.058030531	3.755547788984127
6400	7.208699761573569	-1.0	3.7508678384096483	inf	inf	inf	0.7463919486869215	0.4848698765957955	0.6815641138096483	3.058030531	3.7508678384096483
6500	7.213349312083838	-1.0	3.7462182878833814	inf	inf	inf	0.7457035747151868	0.48101445255729447	0.6769145632833814	3.058030531	3.7462182878833814
6600	7.217516411788407	-1.0	3.742051188233962	inf	inf	inf	0.7451591021969916	0.4777468545483726	0.6727474636339622	3.058030531	3.742051188233962
6700	7.221711971374847	-1.0	3.7378556285476816	inf	inf	inf	0.7445812817779256	0.47441377010908514	0.6685519039476816	3.058030531	3.7378556285476816
6800	7.225149750664077	-1.0	3.734417849366257	inf	inf	inf	0.7442232351921745	0.47203610011075037	0.665114124766257	3.058030531	3.734417849366257
6900	7.229640254359882	-1.0	3.729927345645335	inf	inf	inf	0.7434831838446715	0.4682632572028571	0.660623621045335	3.058030531	3.729927345645335
7000	7.233764478985715	-1.0	3.7258031210142857	inf	inf	inf	0.7428597409262632	0.46493711049873016	0.6564993964142857	3.058030531	3.7258031210142857
7100	7.2373664677784495	-1.0	3.722201132211818	inf	inf	inf	0.7423990544062589	0.46226903199306807	0.652897407611818	3.058030531	3.722201132211818
7200	7.241062357529271	-1.0	3.7185052425203575	inf	inf	inf	0.7418872346053281	0.45945280585668047	0.6492015179203575	3.058030531	3.7185052425203575
7300	7.244392476457996	-1.0	3.715175123594678	inf	inf	inf	0.7414797054338322	0.45709725506314636	0.6458713989946779	3.058030531	3.715175123594678
7400	7.247338092886655	-1.0	3.7122295071203686	inf	inf	inf	0.7411733427101572	0.4552336369393731	0.6429257825203686	3.058030531	3.7122295071203686
7500	7.251563250587265	-1.0	3.708004349414744	inf	inf	inf	0.740382897742828	0.45163732836019865	0.6387006248147441	3.058030531	3.708004349414744
7600	7.255225840881578	-1.0	3.704341759118421	inf	inf	inf	0.7398038651038892	0.4487659730727588	0.6350380345184209	3.058030531	3.704341759118421
7700	7.2579942667792094	-1.0	3.7015733331633864	inf	inf	inf	0.7395112064837511	0.4470782680991663	0.6322696085633864	3.058030531	3.7015733331633864
7800	7.261302376395722	-1.0	3.6982652235720685	inf	inf	inf	0.7390281775792473	0.4446413369407322	0.6289614989720685	3.058030531	3.6982652235720685
7900	7.264576770645573	-1.0	3.6949908293544302	inf	inf	inf	0.7385408120185175	0.4422278880673932	0.6256871047544302	3.058030531	3.6949908293544302
8000	7.267661353312503	-1.0	3.6919062466875	inf	inf	inf	0.7381063601601537	0.44005242760843044	0.6226025220875001	3.058030531	3.6919062466875
8100	7.270850944859681	-1.0	3.68871665512075	inf	inf	inf	0.7376179154178255	0.437711880485236	0.61941293052075	3.058030531	3.68871665512075
8200	7.273811497560975	-1.0	3.6857561024390244	inf	inf	inf	0.7371984623710468	0.4356665698709493	0.6164523778390244	3.058030531	3.6857561024390244
8300	7.276545688867468	-1.0	3.68302191113253	inf	inf	inf	0.7368437725682944	0.43391694786366203	0.61371818653253	3.058030531	3.68302191113253
8400	7.279859516668621	-1.0	3.6797080832903286	inf	inf	inf	0.7362544831573195	0.43134034945146604	0.6104043586903286	3.058030531	3.6797080832903286
8500	7.282522519270589	-1.0	3.6770450807294117	inf	inf	inf	0.7358998833118922	0.42965346656274506	0.6077413561294117	3.058030531	3.6770450807294117
8600	7.285319109081397	-1.0	3.674248490918605	inf	inf	inf	0.735485441629823	0.4277618850908537	0.6049447663186048	3.058030531	3.674248490918605
